8,3,13,18,13,19,14,7,19,16,90.71125178966564
1,10,17,2,13,19,17,8,8,6,72.00425133733741
12,8,0,17,17,18,7,9,16,8,81.45563061764622
6,6,0,16,15,17,1,17,10,8,99.15715863673998
15,16,4,1,13,16,5,17,0,12,77.96478714546588
14,2,16,19,12,9,16,6,7,4,61.790613615279746
6,19,8,8,16,13,19,4,18,4,82.80934192571333
15,20,13,2,8,15,16,7,2,18,89.23410160634947
0,16,8,7,5,12,5,15,17,1,73.23531129780343
16,20,13,4,5,17,11,5,4,7,53.0309993717526
15,14,2,17,3,16,20,1,2,0,84.15958858444081
0,15,10,11,19,2,18,9,14,1,21.461305283977495
6,5,1,4,13,7,7,18,10,3,62.10700507685565
17,17,0,12,10,1,11,12,7,15,63.3281390374704
7,4,5,18,5,2,2,15,15,4,27.901537020185895
2,3,16,16,2,6,12,14,16,10,79.51120891901475
5,20,6,17,18,17,3,9,14,7,93.77579127470904
9,18,11,0,19,14,3,19,3,11,87.1139243829967
13,11,0,15,11,3,1,8,7,5,43.698843408240684
4,3,12,3,2,12,3,7,3,2,59.74489790718401
